startup_name,description,funding_amount,industry,location,employees,website,founders,founder_emails,founder_linkedin,source,batch
Blossom,"Building AI Copilots & Agents for Psychiatry. Come make mental healthcare affordable, accessible, and clinically-effective for every American.


Artificial Intelligence Healthcare

**Quick facts:**

📍HQ: New York, New York, USA


1-10 employeesFounded: 2024

**Funding:**

Headline Village Global Operator Partners Correlation Ventures Founder of General Catalyst$20M Series A in 2025

**Take action:**

[See who works here 🤝](https://www.linkedin.com/company/join-blossom-health)

[Read reviews ⭐](h",$20M,"Healthcare, Artificial Intelligence","New York, New York, USA",10,https://joinblossomhealth.com/,,,,topstartups.io,
Omnea,"Building procurement orchestration platform that streamlines source-to-pay workflows


Artificial Intelligence Enterprise Software

**Quick facts:**

📍HQ: London, England, United Kingdom


101-200 employeesFounded: 2022

**Funding:**

Accel Khosla Ventures Insight Partners$50M Series B in 2025

**Take action:**

[See who works here 🤝](https://www.linkedin.com/company/omnea)

[Check company site 📌](https://www.omnea.co/?utm_source=topstartups.io)

[View Jobs](https://www.omnea.co/careers?utm_sour",$50M,"Enterprise Software, Artificial Intelligence","London, England, United Kingdom",200,https://www.omnea.co/,,,,topstartups.io,
Listen Labs,"Listen Labs is an autonomous market researcher that makes deep customer conversations fast and scalable.


Artificial Intelligence Enterprise Software

**Quick facts:**

📍HQ: San Francisco Bay Area, California, USA


11-50 employeesFounded: 2023

**Funding:**

Sequoia$27M Series A in 2025

**Take action:**

[See who works here 🤝](https://www.linkedin.com/company/listenlabss)

[Check company site 📌](https://listenlabs.ai/?utm_source=topstartups.io)

[View Jobs](https://jobs.ashbyhq.com/listenlabs",$27M,"Enterprise Software, Artificial Intelligence","San Francisco Bay Area, California, USA",50,https://listenlabs.ai/,,,,topstartups.io,
Adaptive Security,"Protecting companies from AI-powered attacks


Artificial Intelligence Cybersecurity Enterprise Software

**Quick facts:**

📍HQ: New York, New York, USA


101-200 employeesFounded: 2024

**Funding:**

Andreessen Horowitz OpenAI NVIDIA Bain Capital Ventures$81M Series B in 2025

**Founders:**

3x Founders, previously Attentive ($7B) and TapCommerce (acq by Twitter)


**Take action:**

[See who works here 🤝](https://www.linkedin.com/company/adaptivesecurity)

[Check company site 📌](https://www.ada",$81M,"Cybersecurity, Enterprise Software, Artificial Intelligence","New York, New York, USA",200,https://www.adaptivesecurity.com/,,,,topstartups.io,
Avoca,"Building the AI Workforce for Service Businesses


Artificial Intelligence

**Quick facts:**

📍HQ: New York, New York, USA


11-50 employeesFounded: 2023

**Funding:**

Y CombinatorSeed in 2023

**Take action:**

[See who works here 🤝](https://www.linkedin.com/company/youramigo-ai)

[Check company site 📌](https://www.avoca.ai/?utm_source=topstartups.io)

[View Jobs](https://jobs.gem.com/avoca?utm_source=topstartups.io)

[![Traba startup company logo](https://images.crunchbase.com/image/upload/c_",,Artificial Intelligence,"New York, New York, USA",50,https://www.avoca.ai/,,,,topstartups.io,
Traba,"Building AI agents and other technologies to completely disrupt the industrial supply chain.


Marketplace Supply Chain Artificial Intelligence

**Quick facts:**

📍HQ: New York, New York, USA


101-200 employeesFounded: 2021

**Funding:**

Founders Fund Khosla Ventures General Catalyst$45M Series A in 2023

**Take action:**

[See who works here 🤝](https://www.linkedin.com/company/traba-work)

[Check company site 📌](https://traba.work/?utm_source=topstartups.io)

[View Jobs](https://jobs.ashbyhq.",$45M,Artificial Intelligence,"New York, New York, USA",200,https://traba.work/,,,,topstartups.io,
Harmonic,"Building mathematical superintelligence


Artificial Intelligence

**Quick facts:**

📍HQ: San Francisco Bay Area, California, USA


11-50 employeesFounded: 2023

**Funding:**

Sequoia Kleiner Perkins$100M Series B in 2025

**Take action:**

[See who works here 🤝](https://www.linkedin.com/company/harmonicmath)

[Check company site 📌](https://harmonic.fun/?utm_source=topstartups.io)

[View Jobs](https://jobs.ashbyhq.com/Harmonic?utm_source=topstartups.io)

[![Ambience Healthcare startup company lo",$100M,"Healthcare, Artificial Intelligence","San Francisco Bay Area, California, USA",50,https://harmonic.fun/,,,,topstartups.io,
Ambience Healthcare,"AI operating system used for documentation, coding, and clinical workflows


Artificial Intelligence Healthcare

**Quick facts:**

📍HQ: San Francisco Bay Area, California, USA


101-200 employeesFounded: 2020

**Funding:**

Andreessen Horowitz$243M Series C in 2025

**Take action:**

[See who works here 🤝](https://www.linkedin.com/company/ambiencehealthcare)

[Check company site 📌](https://www.ambiencehealthcare.com/?utm_source=topstartups.io)

[View Jobs](https://jobs.ashbyhq.com/ambiencehealth",$243M,"Healthcare, Artificial Intelligence","San Francisco Bay Area, California, USA",200,https://www.ambiencehealthcare.com/,,,,topstartups.io,
Tennr,"AI automation platform for medical documents


Artificial Intelligence Healthcare

**Quick facts:**

📍HQ: New York, New York, USA


101-200 employeesFounded: 2021

**Funding:**

Andreessen Horowitz$101M Series C in 2025

**Take action:**

[See who works here 🤝](https://www.linkedin.com/company/tennrai)

[Check company site 📌](https://www.tennr.com/?utm_source=topstartups.io)

[View Jobs](https://jobs.ashbyhq.com/tennr?utm_source=topstartups.io)

[![XBOW startup company logo](https://images.crunc",$101M,"Healthcare, Artificial Intelligence","New York, New York, USA",200,https://www.tennr.com/,,,,topstartups.io,
XBOW,"Using AI to revolutionize how we approach offensive security


Artificial Intelligence Cybersecurity

**Quick facts:**

📍HQ: Remote


11-50 employeesFounded: 2024

**Funding:**

Sequoia$75M Series B in 2025

**Take action:**

[See who works here 🤝](https://www.linkedin.com/company/xbow)

[Check company site 📌](https://xbow.com/?utm_source=topstartups.io)

[View Jobs](https://jobs.ashbyhq.com/xbowcareers?utm_source=topstartups.io)

[![OpenRouter startup company logo](https://images.crunchbase.com",$75M,"Cybersecurity, Artificial Intelligence",Remote,50,https://xbow.com/,,,,topstartups.io,
OpenRouter,"Platform that connects AI applications with LLMs and cloud hosting providers


Artificial Intelligence

**Quick facts:**

📍HQ: Remote


1-10 employeesFounded: 2023

**Funding:**

Sequoia Andreessen Horowitz$40M Series A in 2025

**Take action:**

[See who works here 🤝](https://www.linkedin.com/company/openrouter)

[Check company site 📌](https://openrouter.ai/?utm_source=topstartups.io)

[View Jobs](https://jobs.ashbyhq.com/openrouter/?utm_source=topstartups.io)

[![Harvey startup company logo](h",$40M,Artificial Intelligence,Remote,10,https://openrouter.ai/,,,,topstartups.io,
Harvey,"AI provider for legal workers


Artificial Intelligence Legal

**Quick facts:**

📍HQ: San Francisco Bay Area, California, USA


201-500 employeesFounded: 2021

**Funding:**

Sequoia Kleiner Perkins$300M Series E in 2025$5.0B valuation

**Take action:**

[See who works here 🤝](https://www.linkedin.com/company/harvey-ai/)

[Check company site 📌](https://www.harvey.ai/?utm_source=topstartups.io)

[View Jobs](https://jobs.ashbyhq.com/harvey?utm_source=topstartups.io)

[![Vivodyne startup company log",$300M,Artificial Intelligence,"San Francisco Bay Area, California, USA",500,https://www.harvey.ai/,,,,topstartups.io,
Vivodyne,"Accelerates drug discovery using lab-grown human tissues, robotics, and AI to generate accurate preclinical test data


Artificial Intelligence Biotech Healthcare

**Quick facts:**

📍HQ: San Francisco Bay Area, California, USA


11-50 employeesFounded: 2022

**Funding:**

Khosla Ventures$40M Series A in 2025

**Take action:**

[See who works here 🤝](https://www.linkedin.com/company/vivodyne)

[Check company site 📌](https://www.vivodyne.com//?utm_source=topstartups.io)

[View Jobs](https://job-bo",$40M,"Biotech, Healthcare, Artificial Intelligence","San Francisco Bay Area, California, USA",50,https://www.vivodyne.com//,,,,topstartups.io,
Abridge,"Build audio-based system to record and summarize medical conversations


Healthcare Artificial Intelligence

**Quick facts:**

📍HQ: Pittsburgh, Pennsylvania, USA


201-500 employeesFounded: 2018

**Funding:**

Bessemer Andreessen Horowitz$316M Series E in 2025$5.3B valuation

**Take action:**

[See who works here 🤝](https://linkedin.com/company/abridge-ai)

[Read reviews ⭐](https://www.glassdoor.com/Overview/Working-at-Abridge-EI_IE3146134.11,18.htm)

[Check company site 📌](http://abridge.com/?u",$316M,"Healthcare, Artificial Intelligence","Pittsburgh, Pennsylvania, USA",500,http://abridge.com/,,,,topstartups.io,
Glean,"Work assistant that searches across all your company's apps to help you find what you need


Enterprise Software SaaS Artificial Intelligence

**Quick facts:**

📍HQ: San Francisco Bay Area, California, USA


201-500 employeesFounded: 2019

**Funding:**

Sequoia Kleiner Perkins$150M Series F in 2025$7.2B valuation

**Take action:**

[See who works here 🤝](https://www.linkedin.com/company/gleanwork/)

[Read reviews ⭐](https://www.glassdoor.com/Overview/Working-at-Glean-CA-EI_IE5795738.11,19.htm)

",$150M,"Artificial Intelligence, Enterprise Software, SaaS","San Francisco Bay Area, California, USA",500,https://www.glean.com/,,,,topstartups.io,
